queue_id,review_batch_id,unit_count,first_unit_id,last_unit_id,first_target,last_target,required_review_depth,human_decision_status
gold_primary,GOLD-B01,20,MB-v0.2-0001,MB-v0.2-0020,ZBTB10,MRPL46,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B02,20,MB-v0.2-0021,MB-v0.2-0040,CKAP2L,SNRPE,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B03,20,MB-v0.2-0041,MB-v0.2-0060,MTMR2,TJAP1,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B04,20,MB-v0.2-0061,MB-v0.2-0080,UFSP1,DUS3L,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B05,20,MB-v0.2-0081,MB-v0.2-0100,PDIA5,MICOS13,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B06,20,MB-v0.2-0101,MB-v0.2-0120,SCNM1,SUFU,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B07,20,MB-v0.2-0121,MB-v0.2-0140,PSMC3,RPL23A,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B08,20,MB-v0.2-0141,MB-v0.2-0160,SNAPIN,ENOX2,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B09,20,MB-v0.2-0161,MB-v0.2-0180,FOXO3B,ZNF566,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B10,20,MB-v0.2-0181,MB-v0.2-0200,ZNF790,TRPM4,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B11,20,MB-v0.2-0201,MB-v0.2-0220,Z84480.1,NDUFAF2,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B12,20,MB-v0.2-0221,MB-v0.2-0240,GMPR,MUS81,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B13,20,MB-v0.2-0241,MB-v0.2-0260,SCNN1A,ZNF296,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B14,20,MB-v0.2-0261,MB-v0.2-0280,GEMIN7,ENSG00000173918,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B15,20,MB-v0.2-0281,MB-v0.2-0300,ENSG00000182013,ENSG00000161395,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B16,20,MB-v0.2-0301,MB-v0.2-0320,ENSG00000132359,ENSG00000288671,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B17,20,MB-v0.2-0321,MB-v0.2-0340,ENSG00000266997,ENSG00000004948,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B18,20,MB-v0.2-0341,MB-v0.2-0360,ENSG00000115844,ENSG00000162654,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B19,20,MB-v0.2-0361,MB-v0.2-0380,ENSG00000161509,ENSG00000146374,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B20,20,MB-v0.2-0381,MB-v0.2-0400,ENSG00000180745,ENSG00000143119,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B21,20,MB-v0.2-0401,MB-v0.2-0420,ENSG00000147174,ENSG00000204065,one primary; second review for high-risk and every proposed change,PENDING
gold_primary,GOLD-B22,20,MB-v0.2-0421,MB-v0.2-0440,ENSG00000101189,ENSG00000198838,one primary; second review for high-risk and every proposed change,PENDING
